"version","World Size","iterations","threads","block size x","block size y","time"
"cuda","64","3",1,"8","32","0.349135"
"cuda","64","1",1,"24","24","0.285678"
"cuda","16","3",1,"32","16","0.348977"
"cuda","32","3",1,"16","8","0.278678"
"omp","16","1","4",0,0,"0.00471999"
"cuda","32","2",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","3",1,"32","32","0.287203"
"omp","256","2","6",0,0,"0.698706"
"cuda","8","1",1,"32","32","0.283761"
"cuda","32","1",1,"8","24","0.232224"
"omp","128","2","6",0,0,"0.177433"
"omp","8","2","5",0,0,"0.00145929"
"cuda","128","2",1,"16","32","0.30204"
"cuda","64","3",1,"8","16","0.288753"
"cuda","64","3",1,"24","24","0.288211"
"cuda","256","3",1,"24","16","0.315565"
"cuda","16","2",1,"32","24","0.286489"
"cuda","8","3",1,"32","24","0.278457"
"omp","16","1","2",0,0,"0.00811884"
